Area,Building_Type,Construction_Year,Number_of_Floors,Energy_Consumption_Per_SqM,Water_Usage_Per_Building,Waste_Recycled_Percentage,Occupancy_Rate,Indoor_Air_Quality,Smart_Devices_Count,Green_Certified,Maintenance_Resolution_Time,Last_Inspection_Date,Maintenance_Priority,Energy_Per_SqM,Number_of_Residents,Electricity_Bill
BTM Layout,Commercial,2019,7,210.3820814,200,33.92644746,91.66740803,0.389755835,3,1,48.99327249,10-07-2023,Medium,116.1539,45,20345.11145
Jayanagar,Residential,2009,10,168.9113998,233.8052664,15.32520284,99.92370738,21.19352025,3,0,5.621077885,21-10-2022,Medium,180.5838144,102,11439.81257
Yelahanka,Institutional,1988,2,68.32908093,370.3920012,63.9698122,88.49468536,9.703447696,9,0,11.59811484,20-09-2021,Medium,201.5499761,48,14019.49859
Hebbal,Industrial,2021,6,191.2076534,614.3110657,42.89456432,72.53115285,22.33442987,5,0,13.04595452,21-02-2024,High,196.564006,50,17988.85325
Electronic City,Institutional,1985,5,50,375.6202419,20.29606617,80.83795637,17.76824547,1,1,51.5284641,24-01-2024,Low,108.0391238,81,14963.4341
Hebbal,Residential,2015,6,50,485.4347618,49.19384538,75.88269946,5.059140644,2,1,7.05128632,31-08-2023,Medium,134.5393812,300,22016.80579
HSR Layout,Commercial,1974,3,50,200,23.96547307,83.55515926,37.57374991,1,0,14.95193965,11-08-2021,Low,166.5631716,59,18144.03075
Whitefield,Residential,1975,3,50,505.9363708,4.610590028,85.17047199,13.54312962,1,1,23.66408551,23-07-2024,High,198.7772564,161,14258.33947
Koramangala,Residential,1987,12,50,200,21.79244089,77.97008019,34.57975228,6,0,5.653189072,26-03-2024,High,126.0412881,103,2000
Yelahanka,Industrial,1979,7,50,675.6150956,21.4989755,76.18765525,10.41794129,7,0,7.431073888,03-06-2023,Medium,140.7170512,334,19980.93336
HSR Layout,Institutional,1994,13,132.3418399,237.9515049,31.49147251,91.14335321,83.57917415,6,0,5.20843219,29-05-2023,Medium,94.6832513,412,9102.214892
Jayanagar,Residential,2015,11,50,509.9692829,39.37829548,70.48903366,29.43611765,6,0,8.814915003,23-03-2022,Low,90.1896688,274,19259.32463
Whitefield,Residential,2020,8,50,200,23.97249797,71.50309055,67.59862541,2,1,8.368080575,08-01-2024,High,190.6262911,183,17450.94637
HSR Layout,Commercial,2010,11,58.68053124,309.4917005,17.80401129,88.40744567,14.44437296,4,0,5.79075783,13-06-2023,Low,217.8120014,417,14006.07009
Whitefield,Commercial,1979,6,50,224.2193442,35.96812797,93.10155621,12.83734075,4,0,12.0404034,28-02-2022,High,146.3994939,116,19766.45627
Malleshwaram,Institutional,2017,3,121.5362697,394.5713505,5.868874211,90.70717304,28.16702138,2,0,5.12740799,13-03-2024,Low,200.1766449,362,17605.19879
Jayanagar,Institutional,1994,12,50,200,44.23528979,84.98472284,42.45387357,7,0,12.28101131,28-09-2023,High,168.0818013,399,16641.81198
Banashankari,Industrial,1990,9,250,200,42.88759572,87.12594867,66.56588897,6,0,5.090428792,20-06-2024,Medium,117.7440123,445,6418.364452
Yelahanka,Institutional,1993,12,110.9612832,200,29.85667323,68.37512976,7.847579309,4,0,9.283338457,10-01-2022,High,168.0697803,267,15199.2412
Electronic City,Commercial,1976,10,50,200,12.5340255,55.04820491,32.05963336,9,0,5.277257376,28-09-2022,High,226.9018283,164,8785.869708
Indiranagar,Institutional,1975,13,50,616.2106671,19.74092079,38.77158682,4.730797596,5,0,6.012425629,22-05-2024,Medium,148.208698,143,9520.311102
Electronic City,Residential,1970,6,126.7422583,200,47.98650616,89.66832181,15.77441916,7,0,10.32051224,10-02-2024,Low,228.2321828,437,13194.28783
Electronic City,Institutional,1989,4,92.03219305,1117.230843,6.423019594,80.96519853,3.96531542,4,0,6.159307562,10-03-2024,Low,50,318,22317.08724
HSR Layout,Institutional,1998,11,97.92471816,200,31.25413596,70.1590982,8.535737043,2,0,7.694488,18-04-2024,High,191.0951252,304,16826.95392
Yelahanka,Industrial,1993,10,110.6410895,200,9.504926054,86.84707725,53.57712073,2,0,17.76584677,09-08-2023,Medium,154.3523534,94,17156.34221
Jayanagar,Residential,2018,3,50,467.7639293,32.58849754,61.37685146,3.158605933,3,0,5.171142924,11-03-2023,Low,135.0496325,250,18852.13386
Yelahanka,Industrial,1987,7,50,322.5048616,24.93819557,92.97961961,20.01524647,4,0,12.42771823,16-03-2024,Medium,154.5880388,399,10626.59849
Yelahanka,Commercial,1976,5,50,206.8635326,40.9522715,23.85527458,17.97659497,2,0,5.227549317,29-04-2023,Medium,50.62155427,447,7117.950961
Whitefield,Institutional,1978,12,149.1397179,243.1494897,64.76793134,68.61179597,2.573455217,8,0,5.46231768,25-02-2023,Low,139.0164056,497,6230.085896
Hebbal,Institutional,1975,12,73.22258938,381.0356819,27.73624082,98.89171425,7.889881524,1,0,5.432630072,26-04-2022,High,167.8556286,343,16155.35537
Yelahanka,Commercial,1981,5,50,200,17.5818612,58.34146921,16.55559522,3,0,50.34843711,05-06-2022,Medium,223.8947022,427,19933.4561
Indiranagar,Industrial,1997,3,50,1500,10.79477291,91.84251844,4.144877696,5,1,5.684682289,27-01-2022,Medium,124.0864891,306,19563.7489
BTM Layout,Residential,1998,3,50,1104.191993,32.97622658,81.44429113,32.25122133,3,0,16.31669756,02-05-2022,High,109.5753199,316,10844.76076
HSR Layout,Industrial,2005,12,50,315.225927,42.68439486,86.85920299,71.62312151,6,1,42.95480149,05-03-2022,High,124.9121478,240,21777.47766
Indiranagar,Industrial,2005,1,98.0906838,200,52.74741777,89.14102628,4.835302226,6,0,6.751388677,30-10-2022,Low,195.7701059,59,25215.21122
Banashankari,Residential,2002,12,76.11670192,342.0443386,39.14443243,56.25946165,4.138317818,1,0,8.942594293,04-07-2024,High,166.4375555,15,18038.1588
Malleshwaram,Institutional,1996,10,163.6688934,200,4.64743324,91.64402685,12.13700714,2,0,11.54229253,02-06-2022,Low,123.5119898,285,22436.39814
Jayanagar,Industrial,1976,7,50,200,24.19322406,69.82138607,27.5479037,3,1,6.808257518,09-12-2023,Low,175.6633717,203,19365.77802
Yelahanka,Commercial,1971,13,50,200,36.18595858,86.94744525,6.614592229,4,0,5.606039089,08-08-2021,Medium,154.8538775,237,13851.42203
BTM Layout,Residential,1975,10,93.68447582,200,20.13177766,74.58406055,0.401603454,5,0,7.087426688,26-07-2024,High,198.4322495,466,11677.09092
HSR Layout,Institutional,1992,1,107.2794565,608.1059776,30.33695998,94.00853606,15.58371711,4,0,11.36629584,31-03-2024,High,114.8973453,296,6934.609232
Yelahanka,Residential,2005,3,61.79156212,389.6708936,70.16664786,98.40528191,62.7461784,2,0,11.58422673,06-05-2024,Medium,133.6168927,287,12776.18709
Electronic City,Commercial,1975,10,110.5417475,407.2613714,48.60781403,89.42823071,9.927834424,10,1,5.912839219,12-03-2024,Medium,130.3945923,73,13815.84271
Koramangala,Residential,2008,6,51.06110486,200,33.91465566,69.94923635,10.89918385,8,1,5.662097624,06-08-2022,High,76.82425259,214,13926.36303
HSR Layout,Residential,2008,13,55.47591291,200,4.928899617,91.10042412,69.41205348,4,0,18.26241866,13-10-2021,Low,164.8060139,11,14437.09268
Koramangala,Industrial,2020,10,50,200,37.16785287,64.80817205,23.7231562,4,0,5.151118302,03-01-2024,High,163.0527636,337,3531.513749
Electronic City,Commercial,1990,4,50,1318.219167,32.75587683,91.49017422,25.40025244,2,1,10.56354694,23-12-2022,High,150.2556728,225,18895.14769
Malleshwaram,Commercial,1994,11,50,200,33.46719886,94.85034232,16.54280813,2,0,5.159706588,29-11-2022,Medium,138.2706433,318,19475.43418
Jayanagar,Commercial,1970,10,50,605.2928975,15.23136953,79.49293739,73.46737606,8,0,13.34026925,12-02-2024,Low,79.2314629,203,16855.15608
Whitefield,Residential,1988,2,75.87971632,259.3055224,32.95327466,95.52573826,23.35066297,3,1,16.94786557,09-01-2023,Medium,128.9677339,231,9153.272681
HSR Layout,Commercial,1996,8,50,200,2.028770672,93.58772306,45.08213795,6,0,6.248671273,23-02-2022,High,132.8642742,392,16834.92878
Hebbal,Commercial,1994,3,53.28278829,387.5764702,9.594303037,83.37580296,24.03808994,2,0,5.259344431,18-06-2022,Low,109.8861365,51,15113.05012
Electronic City,Commercial,2019,6,178.5949147,200.0502911,21.75235174,53.37686766,26.56925247,11,0,7.441027453,21-05-2022,Medium,141.9357144,57,17372.41348
HSR Layout,Industrial,1975,12,50,620.0719024,19.16088872,58.69437334,6.861384802,2,0,6.254247985,05-06-2024,Low,170.2025428,132,22755.61295
Yelahanka,Commercial,2016,2,50,692.8885439,52.67666219,87.44355353,7.233138038,2,0,6.971382061,11-12-2021,Low,244.3092951,420,14107.65503
Banashankari,Residential,2005,4,105.6561861,200,19.33616326,93.77632468,30.55574377,6,0,9.398329624,22-09-2023,Low,158.7288906,403,15907.62748
Malleshwaram,Industrial,1985,6,50,200,17.63733521,73.27604422,7.039613562,7,0,5.816641304,11-08-2021,High,162.8775195,280,10678.19249
Yelahanka,Commercial,2006,6,50,269.2041366,12.80982386,84.04717788,16.54592137,9,1,6.585606465,15-05-2023,Medium,146.2777042,297,19608.3816
Banashankari,Commercial,2003,3,50,730.3667819,33.97824552,88.16586678,5.736377193,3,1,11.62985688,02-11-2023,Medium,54.06143924,305,18513.68336
Indiranagar,Industrial,1980,11,50,200,64.7544316,95.7775958,33.9635663,7,0,9.106520306,30-05-2022,High,148.6743062,466,16082.80274
Jayanagar,Commercial,2013,2,199.1212564,292.6264373,17.61382892,78.73554723,2.341945819,3,1,6.407029145,12-12-2022,Low,153.0115105,225,9734.345585
Indiranagar,Residential,1994,12,123.816531,299.5434001,60.90683351,98.43926731,35.37414136,7,1,9.388546003,17-10-2023,Medium,273.1621056,174,11583.48336
HSR Layout,Residential,1980,11,75.26206429,396.2790045,36.22944774,91.22732678,18.46277253,4,0,11.21201292,06-12-2022,High,140.3819518,292,5843.706811
BTM Layout,Commercial,1978,11,153.8639798,200,8.644814337,51.12261189,4.138258047,2,0,8.48814854,05-07-2022,Medium,165.0773671,266,11524.48669
BTM Layout,Residential,1987,12,122.0976706,377.4494727,26.66448365,85.47642124,15.61926718,8,0,5.955519871,16-07-2024,Low,148.2644115,247,18546.83697
Jayanagar,Industrial,1989,6,50,719.1759619,8.904558911,91.99265431,6.639614205,10,0,5.000817769,23-10-2023,Medium,91.56609812,78,16978.80902
Hebbal,Commercial,1987,8,167.3110054,200,56.42227587,83.98481229,7.815490937,6,0,12.18173766,29-11-2023,Low,207.1411407,135,15798.43981
Malleshwaram,Industrial,2001,1,58.13249265,200,24.00555753,73.6223365,8.662730337,3,0,12.79820398,14-05-2024,Low,187.5966516,140,22421.49545
Hebbal,Residential,1979,5,123.5511218,1066.253112,5.898001857,36.04771355,1.308255332,3,0,9.898466176,28-07-2024,High,189.5515974,342,16522.64875
Malleshwaram,Commercial,1974,4,169.8181987,200,24.22397384,73.02578755,85.31929718,12,0,5.269131625,23-05-2022,Low,104.5306273,253,12114.22581
Electronic City,Industrial,1980,4,50,578.0369303,23.51125179,73.39956654,0.640851023,4,0,8.408952818,15-02-2024,High,220.1397155,475,11500.32395
HSR Layout,Residential,1997,12,50,203.3462828,35.97209961,83.75206917,21.72361008,8,0,12.74457934,22-11-2022,Medium,79.90744686,176,13841.42517
Indiranagar,Commercial,1987,2,50,200,34.03241827,73.8329253,9.279720158,2,1,6.789028809,04-06-2023,Low,179.3428547,421,12749.02498
BTM Layout,Institutional,1996,6,50,613.8018005,56.25166933,88.36681113,20.76974873,9,0,5.763214856,03-09-2022,Medium,259.5227813,459,19764.90748
Banashankari,Residential,1989,5,127.7872295,200,20.97629404,42.60555489,8.808842267,2,0,8.434969874,01-06-2023,Low,100.4731837,420,17107.23591
Whitefield,Residential,2000,13,147.8508729,216.9689607,7.694456356,98.68033137,22.40186602,2,0,12.92278867,15-04-2022,High,121.6851135,60,13401.63446
Koramangala,Institutional,2020,2,50,200,39.43123177,89.44544776,26.13011749,7,0,5.168417444,23-09-2021,Medium,154.9825683,461,13591.98098
Whitefield,Institutional,1974,12,53.61571195,269.6464028,17.76089519,97.0689158,23.45934567,12,0,8.537780306,21-10-2023,Medium,124.8262173,352,18516.20864
Indiranagar,Industrial,1993,1,50,200,15.17010698,72.58062955,2.419908377,2,1,9.098765478,13-09-2023,Medium,72.46682845,254,20054.71054
Yelahanka,Residential,1986,1,50,200,8.127069937,88.44400931,21.39427222,3,0,8.598965575,28-07-2023,Low,153.4281487,8,5782.991741
Indiranagar,Institutional,1985,7,50,1046.147413,27.34937078,83.96579968,6.569735494,4,1,9.190289362,13-05-2023,Low,96.88481431,391,14143.93748
Yelahanka,Commercial,2016,8,50,200,50.66751559,73.39708527,0.584485398,3,0,8.94671284,09-03-2023,Low,173.6796215,107,15457.45713
Malleshwaram,Residential,2010,12,214.7340842,320.7772154,26.58911325,66.32110441,10.71708048,1,0,5.476771445,07-07-2023,Low,104.0287883,171,17740.6919
Hebbal,Industrial,2001,7,50,200,23.26109826,70.99722939,11.36708575,1,0,5.933710186,17-12-2023,High,227.4967203,58,15564.96217
Whitefield,Institutional,2008,3,54.85896043,445.4675072,55.16587059,77.57594741,12.59121225,8,0,8.793973809,02-08-2023,Low,110.8373354,337,17035.99958
Malleshwaram,Residential,2009,7,91.05652327,200,28.25750745,67.32351696,24.40368101,7,0,5.059682583,18-04-2024,High,133.8969242,342,13815.2043
Malleshwaram,Residential,1982,8,50,1050.183136,7.797739061,99.18329985,7.387788896,1,0,8.989464354,06-01-2022,Low,190.6758609,430,10970.69522
Hebbal,Institutional,1999,7,250,200,16.58112937,87.56888108,7.574920655,2,1,9.404081412,11-03-2024,Medium,88.45678418,290,18920.9755
Banashankari,Institutional,1976,6,246.1507398,200,22.30271708,30.17342118,1.24926166,1,1,5.953973756,21-12-2022,Low,161.3729967,84,19079.52994
BTM Layout,Institutional,1978,9,50,200,41.77110811,70.40668637,23.21962113,3,1,8.55103573,23-03-2024,High,215.3571377,117,18259.16866
Jayanagar,Residential,1989,7,51.57444588,200,65.92702778,79.71121043,16.77854411,1,0,7.899295988,13-03-2023,Low,69.62583827,200,19148.95407
BTM Layout,Institutional,1970,2,50,220.0495036,17.97942366,73.80301171,8.597977299,4,0,6.059227099,19-01-2024,Low,159.2316929,22,10141.3622
Koramangala,Institutional,1995,8,50,200,38.5438923,75.60990499,24.42841469,3,0,7.302732062,30-06-2023,Medium,162.9941397,219,12462.82444
Yelahanka,Residential,1991,13,50,529.6229652,16.51364097,51.68160304,15.416024,4,0,17.28348654,14-11-2021,High,189.0911436,226,20599.33315
Whitefield,Residential,2023,10,70.53690532,200,34.04942838,84.51381947,12.66909312,4,0,7.036904248,30-09-2022,High,88.15246446,405,16781.16561
Yelahanka,Industrial,2009,11,52.38897246,200,19.94209401,84.57797142,14.32113397,9,0,8.927456308,07-08-2022,Medium,83.97716935,271,15280.83628
BTM Layout,Commercial,1994,13,50,288.029675,47.20108476,63.70117982,20.23116514,3,0,5.120691814,19-11-2023,Medium,176.0970783,389,13740.53625
Jayanagar,Residential,2021,11,50,368.0467821,14.53760901,87.83965937,21.57634644,7,1,5.273655022,15-04-2023,Medium,164.8492337,102,21339.49398
Yelahanka,Commercial,1991,4,179.1645713,200,48.35382002,75.52613544,6.820470497,11,1,5.286714821,16-01-2024,Low,162.5246425,145,6147.830487
Electronic City,Industrial,1998,3,50,200,47.84351308,92.07253422,3.033752791,6,0,11.52111779,02-01-2023,High,167.3224105,456,16470.36481
Whitefield,Industrial,1991,8,50,200,20.21331474,48.05502414,3.407089327,8,1,6.545677971,18-03-2024,Medium,115.9987639,147,14666.94322
Jayanagar,Institutional,1997,2,50.42040821,399.9990362,71.12894118,98.00768924,20.39921387,8,0,5.899036382,08-07-2023,Medium,161.6126849,261,8737.419039
Malleshwaram,Industrial,2022,13,250,327.0187575,25.14542634,57.03837895,41.2514188,1,0,10.81778475,27-10-2022,High,164.6536237,279,23083.20589
Indiranagar,Institutional,2022,1,50,200,11.85661034,68.77077008,10.53558682,4,1,5.64062171,16-11-2021,Low,114.2824291,339,2000
Banashankari,Institutional,2011,5,83.63662577,557.6977472,10.42557129,63.9177786,3.715032503,6,0,5.989319793,28-01-2022,Low,243.2887256,14,15606.27375
Koramangala,Residential,2008,1,107.541572,491.4594964,15.98713873,63.62150513,28.26118725,4,1,7.067347062,05-10-2022,Low,173.691646,266,17642.30946
Jayanagar,Residential,1978,6,50,264.0993041,19.05967063,80.78319054,35.73418181,3,0,6.436315259,20-11-2022,High,90.43482514,287,10124.69637
BTM Layout,Commercial,1989,5,97.70616964,608.103188,46.44113042,27.72912404,42.50258093,1,1,8.410784417,30-09-2023,Low,182.8276804,141,16386.30147
Indiranagar,Institutional,1990,2,50,200,29.7942001,91.92391979,18.6703365,2,1,6.473057089,23-07-2022,Low,101.2659165,383,13877.58923
BTM Layout,Institutional,2008,2,75.03778108,200,24.17833872,86.04272225,39.4266088,4,0,6.810244872,30-10-2022,High,189.3542302,406,19940.24657
Whitefield,Commercial,2014,6,75.28783704,200,76.84995436,58.42922713,0.310700084,11,0,14.39277872,14-03-2022,High,207.929779,293,32568.38157
Yelahanka,Institutional,1982,3,57.55389375,200,41.11403675,57.61430903,2.268655774,4,0,15.5358216,28-08-2023,Medium,108.9658841,423,16692.96875
Jayanagar,Industrial,2000,7,50,227.2542129,18.01315319,80.84441023,1.942910736,11,0,12.97136136,29-07-2024,High,198.1688065,394,18020.2383
Yelahanka,Institutional,1990,3,135.2733596,827.5143616,28.66003283,89.45738019,24.93793208,5,0,14.48532083,05-11-2022,Low,170.6390463,31,10124.22027
BTM Layout,Institutional,1981,12,50,200,31.91688502,71.97179768,1.442421976,4,1,8.246033939,22-03-2023,High,191.103008,171,16073.99507
Hebbal,Institutional,1995,2,50,200,0.908320794,66.83472376,13.71804467,3,0,9.139291506,12-05-2023,Low,244.8396491,355,13134.94174
HSR Layout,Residential,1990,9,50,200,33.43889497,42.09152919,12.79997431,10,1,8.11964318,26-02-2022,Medium,137.7305942,205,18894.05384
Indiranagar,Industrial,1988,2,67.03338034,814.8625962,8.371253398,92.37372938,7.441676018,8,0,11.70771381,19-01-2023,Low,112.3131918,478,7869.803353
Electronic City,Institutional,2017,6,84.88888007,200,43.67882486,80.26617619,40.86684775,2,0,8.059244199,02-08-2022,Low,105.5242785,482,9632.444766
Indiranagar,Industrial,2014,10,50,212.3167511,3.689723952,84.84693708,3.737032888,4,0,5.400285942,06-11-2023,Low,109.2094858,420,20900.09656
BTM Layout,Industrial,2010,10,53.82229384,200,34.51062791,61.39522218,8.691580225,12,0,12.38184627,28-09-2022,High,146.1449145,291,16049.94097
BTM Layout,Industrial,2001,8,50,200,30.27693751,67.85827732,29.75958835,7,0,11.10458919,29-11-2021,Low,167.0575987,111,21619.12306
Koramangala,Commercial,2006,12,77.70932562,1294.425325,16.00611226,95.16370759,0.617893559,8,0,12.7208461,03-01-2022,High,163.83454,68,16818.72322
Hebbal,Institutional,2020,1,50,1006.741292,35.1189087,92.15257281,22.35286877,3,0,5.729556441,07-02-2022,Medium,191.3591625,183,17548.89565
Electronic City,Residential,1985,7,88.06593957,200,13.78439466,59.68950607,33.89966834,8,0,6.114247834,04-08-2022,Medium,150.6500946,373,13452.48309
Banashankari,Residential,1990,11,50,909.7922396,15.82883465,76.81871323,53.84388316,5,0,6.239786546,21-11-2022,Medium,222.6767039,196,14031.8632
Koramangala,Residential,1994,3,207.0257863,305.7628841,29.37076866,70.43137217,41.79737683,2,1,7.667823326,14-11-2021,Low,136.7671583,126,19822.08729
